"Август",2008,"Парадиз"," http://www.tvzavr.ru/Avgust ","нет"
"Авиатор",2004,"Парадиз"," http://www.tvzavr.ru/Aviator ","http://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B8%D0%B0%D1%82%D0%BE%D1%80_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%29"
"Агора",2009,"Парадиз"," http://www.tvzavr.ru/Agora ","http://ru.wikipedia.org/wiki/%D0%90%D0%B3%D0%BE%D1%80%D0%B0_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%29"
"Адаптация",2002,"Парадиз"," http://www.tvzavr.ru/Adaptatsiya ","http://ru.wikipedia.org/wiki/%D0%90%D0%B4%D0%B0%D0%BF%D1%82%D0%B0%D1%86%D0%B8%D1%8F_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%29"
"Айрис",2001,"Парадиз"," http://www.tvzavr.ru/Airis ","http://ru.wikipedia.org/wiki/%D0%90%D0%B9%D1%80%D0%B8%D1%81_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%29"
"Александр",2004,"Парадиз"," http://www.tvzavr.ru/Aleksandr ","http://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%29"
"Американец",2010,"Парадиз"," http://www.tvzavr.ru/Amerikanets ","http://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D0%B5%D1%86_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2010%29"
"Арсен Люпен",2004,"Парадиз"," http://www.tvzavr.ru/Arsen-Lyupen ","http://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD_%D0%9B%D1%8E%D0%BF%D0%B5%D0%BD_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2004%29"
"База Клейтон",2003,"Парадиз"," http://www.tvzavr.ru/Baza-Kleiton ","http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B7%D0%B0_%C2%AB%D0%9A%D0%BB%D0%B5%D0%B9%D1%82%D0%BE%D0%BD%C2%BB"
"Баллада о Джеке и Роуз",2005,"Парадиз"," http://www.tvzavr.ru/Ballada-o-Dzheke-i-Rouz ","http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%BB%D0%BB%D0%B0%D0%B4%D0%B0_%D0%BE_%D0%94%D0%B6%D0%B5%D0%BA%D0%B5_%D0%B8_%D0%A0%D0%BE%D1%83%D0%B7"
